id,Длинна,Диаметр,Цвет
70239202173044053,19.0,3.9,Желтый
70239201931544223,19.0,5.5,RAL-3005
70239202173061020,40.0,3.5,Желтый
70239202167093100,76.0,4.8,None
70239201931544264,13.0,4.2,RAL-6005
70239202149038582,16.0,4.2,None
70239202173079227,35.0,4.0,Желтый
70239202173079540,40.0,3.0,Желтый
70239202173041120,150.0,6.0,Желтый
70239201940756915,127.0,4.8,None
70239202157985954,80.0,5.0,Цинк
70239202173030827,11.0,3.5,None
70239202190669630,51.0,3.8,None
70239202149060033,25.0,3.5,None
70239201931548795,100.0,6.3,None
70239202173031239,29.0,4.8,Коричневый
70239202156197890,60.0,5.0,Цинк
70239202156300718,35.0,3.0,Цинк
70239202173083465,19.0,4.2,Зеленый
70239202173069231,35.0,3.5,Желтый
70239202173127529,80.0,4.8,Коричневый
70239202149070937,20.0,3.0,None
70239201942560174,140.0,6.0,Желтый
70239202164413912,32.0,9.0,None
70239202148960490,70.0,6.0,None
70239201940711571,51.0,4.2,None
70239202149066136,40.0,3.5,None
70239202173037662,19.0,3.9,Цинк
70239202173032275,35.0,3.8,Желтый
70239202156256753,45.0,4.5,Цинк
70239202149062918,60.0,4.0,None
70239202157964767,45.0,3.5,Черный
70239202157979671,30.0,3.9,Черный
70239202173066757,35.0,3.0,Желтый
70239202173095097,70.0,5.0,Желтый
70239202173125945,35.0,4.8,Красный
70239201940756488,65.0,4.2,None
70239202173481116,19.0,5.5,Цинк
70239201940745447,19.0,5.5,Цинк
70239202157978960,50.0,3.5,Черный
70239202188629740,35.0,4.5,None
70239202149057993,9.5,3.5,None
70239201976652672,70.0,4.8,Цинк
70239202173045502,30.0,None,Желтый
70239201931547270,14.0,4.2,Цинк
70239202173052250,30.0,3.9,None
70239202148927213,19.0,4.2,None
70239201931455208,80.0,8.0,None
70239201931436994,25.0,3.5,Черный
70239202173481093,75.0,4.2,None
70239201940724796,41.0,3.5,None
70239202173128310,25.0,4.2,RAL-8017
70239202153673854,75.0,4.2,None
70239202153673901,19.0,3.5,None
70239202188507242,35.0,3.5,Черный
70239202148927467,30.0,4.0,None
70239202157981983,11.0,3.8,None
70239201931545209,32.0,4.2,RAL-6005
70239202173085433,19.0,4.8,Зеленый
70239202158261190,20.0,3.5,None
70239201940757106,35.0,4.8,None
70239202148926893,70.0,5.0,None
70239202149067953,70.0,5.0,None
70239201931468636,35.0,3.5,None
70239202149066338,110.0,4.8,None
70239201940724954,45.0,3.5,None
70239202186931579,90.0,4.2,None
70239202188045709,51.0,3.5,None
70239201940729106,70.0,4.2,None
70239202188452175,55.0,3.5,None
70239202173098225,45.0,3.5,None
70239202173126469,13.0,4.2,Цинк
70239202188648524,45.0,4.5,None
70239202173086915,19.0,4.8,Красный
70239202172974374,35.0,4.8,RAL-3011
70239202173027931,100.0,4.8,None
70239202173031202,40.0,4.5,Цинк
70239202157979930,51.0,4.8,Цинк
70239202189739352,35.0,5.5,Цинк
70239202173130814,10.0,2.5,Желтый
70239202157979552,25.0,3.5,Черный
70239201954471325,64.0,4.8,Цинк
70239202189595921,16.0,3.5,Черный
70239201931544378,16.0,4.2,RAL-8017
70239202173040843,16.0,3.0,Желтый
70239202173122942,25.0,5.0,Белый
70239201942559849,35.0,4.8,None
70239201931455049,100.0,12.0,None
70239202173031600,29.0,4.8,RAL-3003
70239202157971446,16.0,4.2,None
70239202186110285,19.0,3.5,None
70239202149116863,12.0,4.0,None
70239202149000792,51.0,3.5,None
70239201931467430,130.0,4.8,None
70239202186562286,25.0,3.8,None
70239202180490594,16.0,3.5,None
